Pclass,Age,SibSp,Parch,Fare,name__len,age__was_missing,cabin__was_missing,embarked__was_missing,sex_female,sex_male,ticket__freq,cabin__freq,embarked_C,embarked_Q,embarked_S,Survived
3,4.0,1,1,16.7,31.0,0,0,0,1,0,0.002244668911335578,0.004489337822671156,0,0,1,1
1,45.5,0,0,28.5,19.0,0,0,0,0,1,0.001122334455667789,0.002244668911335578,0,0,1,0
2,23.0,0,0,13.0,26.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
3,32.0,0,0,7.925,18.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
3,26.0,1,0,7.8542,23.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
3,6.0,4,2,31.275,34.0,0,1,0,1,0,0.007856341189674524,0.7710437710437711,0,0,1,0
1,24.0,0,1,247.5208,24.0,0,0,0,0,1,0.002244668911335578,0.002244668911335578,1,0,0,0
1,45.0,0,0,26.55,33.0,0,0,0,0,1,0.001122334455667789,0.001122334455667789,0,0,1,0
2,29.0,1,0,27.7208,25.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,1,0,0,0
3,28.0,0,0,7.8958,19.0,1,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
1,28.0,0,0,35.5,17.0,1,0,0,0,1,0.001122334455667789,0.002244668911335578,0,0,1,1
2,42.0,0,0,13.0,24.0,0,1,0,1,0,0.001122334455667789,0.7710437710437711,0,0,1,1
3,36.0,1,1,24.15,27.0,0,1,0,0,1,0.003367003367003367,0.7710437710437711,0,0,1,0
2,33.0,0,0,12.275,22.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
3,17.0,1,0,7.0542,25.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,0
3,29.0,0,0,9.5,27.0,0,1,0,0,1,0.001122334455667789,0.7710437710437711,0,0,1,1
2,50.0,0,1,26.0,27.0,0,1,0,1,0,0.002244668911335578,0.7710437710437711,0,0,1,1
1,35.0,1,0,90.0,47.0,0,0,0,1,0,0.002244668911335578,0.002244668911335578,0,0,1,1
1,38.0,0,0,227.525,29.0,0,0,0,1,0,0.004489337822671156,0.001122334455667789,1,0,0,1
2,34.0,0,0,13.0,20.0,0,1,0,0,1,0.002244668911335578,0.7710437710437711,0,0,1,0
